date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:54	544/544	---MCZ	200	added ('OK')	text/plain	etag:%22cacheable:77a2afffdc397b5f6d617d39c46bad32%22	https://wegotkickspr.com/robots.txt		(from )
20:59:55	197657/197657	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:42c0a838f3b9501c0765c0d8116c40b1%22	https://wegotkickspr.com/	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/index.html	(from )
20:59:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2001:59:53%20GMT	http://wegotkickspr.com/cdn/shop/files/WGK_ART.png?crop=center&height=32&v=1678294186&width=32	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/files/WGK_ART.028ba.delayed	(from https://wegotkickspr.com/)
20:59:55	1438/1438	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2010:56:46%20GMT	https://wegotkickspr.com/cdn/shop/files/WGK_ART.png?crop=center&height=32&v=1678294186&width=32	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/files/WGK_ART28ba.png	(from https://wegotkickspr.com/)
20:59:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2001:59:53%20GMT	http://wegotkickspr.com/cdn/shop/files/2_bb54301c-54ea-497b-a23f-782bfa30f16e.jpg?v=1678379772	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/files/2_bb54301c-54ea-497b-a23f-782bfa30f16e1e4b.jpg	(from https://wegotkickspr.com/)
20:59:55	49217/49217	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Feb%202024%2002:42:30%20GMT	https://wegotkickspr.com/cdn/shop/files/2_bb54301c-54ea-497b-a23f-782bfa30f16e.jpg?v=1678379772	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/files/2_bb54301c-54ea-497b-a23f-782bfa30f16e1e4b.jpg	(from https://wegotkickspr.com/)
20:59:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2001:59:54%20GMT	http://wegotkickspr.com/cdn/shop/t/1/assets/constants.js?v=165488195745554878101678292891	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/t/1/assets/constants60b8.js	(from https://wegotkickspr.com/)
20:59:57	398/398	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Jan%202024%2019:47:48%20GMT	https://wegotkickspr.com/cdn/shop/t/1/assets/constants.js?v=165488195745554878101678292891	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/t/1/assets/constants60b8.js	(from https://wegotkickspr.com/)
20:59:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2001:59:55%20GMT	http://wegotkickspr.com/cdn/shop/t/1/assets/pubsub.js?v=2921868252632587581678292902	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/t/1/assets/pubsubf162.js	(from https://wegotkickspr.com/)
20:59:57	753/753	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2012%20Jan%202024%2000:22:00%20GMT	https://wegotkickspr.com/cdn/shop/t/1/assets/pubsub.js?v=2921868252632587581678292902	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/t/1/assets/pubsubf162.js	(from https://wegotkickspr.com/)
20:59:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2001:59:55%20GMT	http://wegotkickspr.com/cdn/shop/t/1/assets/global.js?v=85297797553816670871678292895	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/t/1/assets/globalefa4.js	(from https://wegotkickspr.com/)
20:59:58	38288/38288	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Jan%202024%2023:56:18%20GMT	https://wegotkickspr.com/cdn/shop/t/1/assets/global.js?v=85297797553816670871678292895	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/t/1/assets/globalefa4.js	(from https://wegotkickspr.com/)
20:59:58	198032/198032	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:3828cbb7eb2db8d5ce2c0ab5fbd5bb7f%22	https://wegotkickspr.com/en-ca	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/en-ca.html	(from https://wegotkickspr.com/)
